What is John Mayne's occupation?	Insufficient evidence
What is Kathy Saltzman's occupation?	politician
What is Eleanor Davis's occupation?	cartoonist
What is William Murray, 1st Earl of Mansfield's occupation?	Insufficient evidence
What is Þorsteinn Bachmann's occupation?	Insufficient evidence
What is Jacob Kraemer's occupation?	actor
What is Bae Geu-rin's occupation?	actor
What is John Floyd's occupation?	Insufficient evidence
What is Sachiko Kokubu's occupation?	Insufficient evidence
What is Akari Hayami's occupation?	actor
What is Paris's occupation?	actor
What is Fairfax M. Cone's occupation?	businessperson
What is Albert Bates's occupation?	lawyer
What is Heath's occupation?	Insufficient evidence
What is Yoshiki Tonogai's occupation?	mangaka
What is Thomas R. Whitney's occupation?	Insufficient evidence
What is Edwin Wallock's occupation?	actor
What is Tsutomu Seki's occupation?	Insufficient evidence
What is Matthew McKay's occupation?	dentist
What is Dominick Bellizzi's occupation?	Insufficient evidence
