What is John Mayne's occupation?	Insufficient evidence
What is Kathy Saltzman's occupation?	Insufficient evidence
What is Eleanor Davis's occupation?	Eleanor R. Davis was an American women's rights activist
What is William Murray, 1st Earl of Mansfield's occupation?	Insufficient evidence
What is Þorsteinn Bachmann's occupation?	Insufficient evidence
What is Jacob Kraemer's occupation?	Insufficient evidence
What is Bae Geu-rin's occupation?	Insufficient evidence
What is John Floyd's occupation?	Georgia politician
What is Sachiko Kokubu's occupation?	Insufficient evidence
What is Akari Hayami's occupation?	Insufficient evidence
What is Paris's occupation?	Insufficient evidence
What is Fairfax M. Cone's occupation?	Insufficient evidence
What is Albert Bates's occupation?	Insufficient evidence
What is Heath's occupation?	Heath's occupation is musician
What is Yoshiki Tonogai's occupation?	Insufficient evidence
What is Thomas R. Whitney's occupation?	Insufficient evidence
What is Edwin Wallock's occupation?	Insufficient evidence
What is Tsutomu Seki's occupation?	Insufficient evidence
What is Matthew McKay's occupation?	Insufficient evidence
What is Dominick Bellizzi's occupation?	Priest and teacher of modern literature
