qid	gold_evidence_ids	retrieved_topk_ids	in_context_ids	overlap_topk	overlap_in_context
ce40d2c4-f403-4736-ace1-7fca9c722aba	John Mayne	John Dawson Mayne|Hate Man|Marina Baker|Jim Boyd (newscaster)|John Dawson Mayne|Melinda and Melinda|William Murray, 1st Earl of Mansfield|John Floyd (Georgia politician)|John Myers Myers|John Esslemont	John Dawson Mayne|Hate Man|Marina Baker|Jim Boyd (newscaster)|John Dawson Mayne|Melinda and Melinda|William Murray, 1st Earl of Mansfield|John Floyd (Georgia politician)|John Myers Myers	0	0
647d126c-564b-46c6-a8a7-6eda23449e10	Kathy Saltzman	Kathy Saltzman|Melinda and Melinda|Honor Harger|Jim Boyd (newscaster)|Harry Saltzman|Hate Man|Harry Saltzman|Ai (poet)|Marina Baker|A. Lawrence Kocher	Kathy Saltzman|Melinda and Melinda|Honor Harger|Jim Boyd (newscaster)|Harry Saltzman|Hate Man|Harry Saltzman|Ai (poet)|Marina Baker	1	1
e8acd86c-e651-47fa-8440-2eb759a5f5ea	Eleanor Davis	Eleanor Davis|Eleanor Davis|Eleanor Layfield Davis|Ai (poet)|Honor Harger|Melinda and Melinda|Honor Harger|Ai (poet)|Marina Baker|Marina Baker	Eleanor Davis|Eleanor Davis|Eleanor Layfield Davis|Ai (poet)|Honor Harger|Melinda and Melinda|Honor Harger|Ai (poet)|Marina Baker	1	1
4d5a3c5c-4b7c-4633-a9f9-a39d9e885344	William Murray, 1st Earl of Mansfield	William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|John Dawson Mayne|William Murray, 1st Earl of Mansfield|John Brightman, Baron Brightman|John Brightman, Baron Brightman|Donald Stokes, Baron Stokes|John Strange (diplomat)	William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|John Dawson Mayne|William Murray, 1st Earl of Mansfield|John Brightman, Baron Brightman|John Brightman, Baron Brightman|Donald Stokes, Baron Stokes	1	1
5bede7e0-5a07-480a-ba01-b2e7adffd4e2	Þorsteinn Bachmann	Þorsteinn Gylfason|Þorsteinn Bachmann|Þorsteinn Pálsson|Þorsteinn Gylfason|Hate Man|Duilio Forte|Kekko Fornarelli|Kurt Carlsen|Nikolay Nekrasov|Fritz Goos	Þorsteinn Gylfason|Þorsteinn Bachmann|Þorsteinn Pálsson|Þorsteinn Gylfason|Hate Man|Duilio Forte|Kekko Fornarelli|Kurt Carlsen|Nikolay Nekrasov|Fritz Goos	1	1
b36e15b4-74a1-433c-8a0b-ad79e29ab837	Jacob Kraemer	Petrus Camper|Franz Kraemer|Fritz Goos|Petrus Camper|Hate Man|A. Lawrence Kocher|Nosrat Karimi|Joseph Weydemeyer|Kekko Fornarelli|Jim Boyd (newscaster)	Petrus Camper|Franz Kraemer|Fritz Goos|Petrus Camper|Hate Man|A. Lawrence Kocher|Nosrat Karimi|Joseph Weydemeyer|Kekko Fornarelli	0	0
6c512c5b-f2d6-471f-8984-5672f49f6fb7	Bae Geu-rin	Seungri|Seungri|Seungri|Seungri|Seungri|Kekko Kamen|Kekko Kamen|Kekko Kamen|Bala (director)|Robert Antoine	Seungri|Seungri|Seungri|Seungri|Seungri|Kekko Kamen|Kekko Kamen|Kekko Kamen|Bala (director)|Robert Antoine	0	0
da59acd0-881b-42c0-b403-4b39e44a591c	John Floyd (Georgia politician)	John Floyd (Georgia politician)|John Floyd (Georgia politician)|John Floyd (Georgia politician)|John Floyd (Georgia politician)|John Floyd (Georgia politician)|Jim Boyd (newscaster)|Hate Man|Eustace Mullins|John Andrew Martin|Fairfax M. Cone	John Floyd (Georgia politician)|John Floyd (Georgia politician)|John Floyd (Georgia politician)|John Floyd (Georgia politician)|John Floyd (Georgia politician)|Jim Boyd (newscaster)|Hate Man|Eustace Mullins|John Andrew Martin	1	1
8e7e3452-5510-40d9-ac52-738cb7384ec4	Sachiko Kokubu	Kekko Kamen|Yoshikawa Akimasa|Kekko Kamen|Akino Arai|Kaneko|Ai (poet)|Akari Hayami|Kekko Kamen|Kekko Fornarelli|Honor Harger	Kekko Kamen|Yoshikawa Akimasa|Kekko Kamen|Akino Arai|Kaneko|Ai (poet)|Akari Hayami|Kekko Kamen|Kekko Fornarelli|Honor Harger	0	0
68c18f33-3e20-4749-88f1-bb474eb30da0	Akari Hayami	Akari Hayami|Akari Hayami|Kekko Kamen|Akino Arai|Kekko Kamen|Kekko Kamen|Kaneko|Yoshikawa Akimasa|Ai (poet)|Heath (musician)	Akari Hayami|Akari Hayami|Kekko Kamen|Akino Arai|Kekko Kamen|Kekko Kamen|Kaneko|Yoshikawa Akimasa|Ai (poet)|Heath (musician)	1	1
