What is John Mayne's occupation?	**John Mayne's occupation was a British lawyer** (specifically, a legal expert and acting Advocate-General of the Madras Presidency)
What is Kathy Saltzman's occupation?	** Executive producer
What is Eleanor Davis's occupation?	** Cartoonist
What is William Murray, 1st Earl of Mansfield's occupation?	**
What is Þorsteinn Bachmann's occupation?	**
What is Jacob Kraemer's occupation?	** Jacob Kraemer's occupation is **a music producer**
What is Bae Geu-rin's occupation?	There is no information provided in the given context about Bae Geu-rin's occupation
What is John Floyd's occupation?	John Floyd's occupation was **American politician, planter, and military officer**. He served as a Brigadier-General in the Georgia Militia during the War of 1812, was a prominent landowner in Camden County, Georgia, and held positions in both the Georgia House of Representatives and the United States House of Representatives. Additionally, he was involved in plantation management, reflecting his role as a planter
What is Sachiko Kokubu's occupation?	**
What is Akari Hayami's occupation?	**
What is Paris's occupation?	** John Floyd was an American politician, planter, and military officer
What is Fairfax M. Cone's occupation?	** The available information does not provide sufficient data to identify Fairfax M. Cone's occupation
What is Albert Bates's occupation?	** Governor
What is Heath's occupation?	** Insufficient information to determine Heath's occupation
What is Yoshiki Tonogai's occupation?	** Drums (or Drummer)
What is Thomas R. Whitney's occupation?	** Business executive (or entrepreneur)
What is Edwin Wallock's occupation?	** The occupation of Edwin Wallock is unknown or not readily available in public records
What is Tsutomu Seki's occupation?	** Teacher
What is Matthew McKay's occupation?	**
What is Dominick Bellizzi's occupation?	**
