What is John Mayne's occupation?	British lawyer
What is Kathy Saltzman's occupation?	Information not provided about Kathy Saltzman's occupation
What is Eleanor Davis's occupation?	cartoonist and illustrator
What is William Murray, 1st Earl of Mansfield's occupation?	Judge, politician, lawyer
What is Þorsteinn Bachmann's occupation?	Icelandic film actor
What is Jacob Kraemer's occupation?	Based on the given context, there is no information provided about Jacob Kraemer's occupation
What is Bae Geu-rin's occupation?	Chef
What is John Floyd's occupation?	planter and military officer
What is Sachiko Kokubu's occupation?	Not provided in the context
What is Akari Hayami's occupation?	actress, model
What is Paris's occupation?	Not provided in the context
What is Fairfax M. Cone's occupation?	advertising executive
What is Albert Bates's occupation?	Albert Bates's occupations include organizer, chairman, president, founder, teacher, and author
What is Heath's occupation?	Army officer
What is Yoshiki Tonogai's occupation?	manga artist
What is Thomas R. Whitney's occupation?	journalist
What is Edwin Wallock's occupation?	Not provided in the context
What is Tsutomu Seki's occupation?	Director of the Geisei Observatory
What is Matthew McKay's occupation?	Not provided in the context
What is Dominick Bellizzi's occupation?	poet
