qid	gold_evidence_ids	retrieved_topk_ids	in_context_ids	overlap_topk	overlap_in_context
ce40d2c4-f403-4736-ace1-7fca9c722aba	John Mayne	John Dawson Mayne|Hate Man|Marina Baker|Jim Boyd (newscaster)|John Dawson Mayne|Melinda and Melinda|William Murray, 1st Earl of Mansfield|John Floyd (Georgia politician)|John Myers Myers|Brendan Canty	John Dawson Mayne|Hate Man|Marina Baker|Jim Boyd (newscaster)|John Dawson Mayne|Melinda and Melinda|William Murray, 1st Earl of Mansfield|John Floyd (Georgia politician)|John Myers Myers	0	0
647d126c-564b-46c6-a8a7-6eda23449e10	Kathy Saltzman	Kathy Saltzman|Hate Man|Melinda and Melinda|Jim Boyd (newscaster)|Harry Saltzman|Marina Baker|Harry Saltzman|Harry Saltzman|Ai (poet)|Honor Harger	Kathy Saltzman|Hate Man|Melinda and Melinda|Jim Boyd (newscaster)|Harry Saltzman|Marina Baker|Harry Saltzman|Harry Saltzman|Ai (poet)	1	1
e8acd86c-e651-47fa-8440-2eb759a5f5ea	Eleanor Davis	Eleanor Davis|Eleanor Davis|Eleanor Layfield Davis|Ai (poet)|Honor Harger|Melinda and Melinda|Marina Baker|Hate Man|Marina Baker|Carmen Marai	Eleanor Davis|Eleanor Davis|Eleanor Layfield Davis|Ai (poet)|Honor Harger|Melinda and Melinda|Marina Baker|Hate Man|Marina Baker	1	1
4d5a3c5c-4b7c-4633-a9f9-a39d9e885344	William Murray, 1st Earl of Mansfield	William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|John Dawson Mayne|John Brightman, Baron Brightman|John Strange (diplomat)|John Dawson Mayne|Donald Stokes, Baron Stokes	William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|William Murray, 1st Earl of Mansfield|John Dawson Mayne|John Brightman, Baron Brightman|John Strange (diplomat)|John Dawson Mayne	1	1
5bede7e0-5a07-480a-ba01-b2e7adffd4e2	Þorsteinn Bachmann	Þorsteinn Gylfason|Þorsteinn Bachmann|Þorsteinn Pálsson|Þorsteinn Gylfason|Hate Man|Duilio Forte|Fritz Goos|Nikolay Nekrasov|Hugo Becker|Jim Boyd (newscaster)	Þorsteinn Gylfason|Þorsteinn Bachmann|Þorsteinn Pálsson|Þorsteinn Gylfason|Hate Man|Duilio Forte|Fritz Goos|Nikolay Nekrasov|Hugo Becker|Jim Boyd (newscaster)	1	1
b36e15b4-74a1-433c-8a0b-ad79e29ab837	Jacob Kraemer	Fritz Goos|Petrus Camper|Hate Man|Franz Kraemer|Nosrat Karimi|Jim Boyd (newscaster)|Petrus Camper|Eckart von Klaeden|Charles Joseph Bonaparte|Joseph Weydemeyer	Fritz Goos|Petrus Camper|Hate Man|Franz Kraemer|Nosrat Karimi|Jim Boyd (newscaster)|Petrus Camper|Eckart von Klaeden|Charles Joseph Bonaparte	0	0
6c512c5b-f2d6-471f-8984-5672f49f6fb7	Bae Geu-rin	Seungri|Seungri|Seungri|Seungri|Ai (poet)|Nosrat Karimi|Nikolay Nekrasov|Heath (musician)|Nikolay Nekrasov|Charlotte von Hagn	Seungri|Seungri|Seungri|Seungri|Ai (poet)|Nosrat Karimi|Nikolay Nekrasov|Heath (musician)|Nikolay Nekrasov|Charlotte von Hagn	0	0
da59acd0-881b-42c0-b403-4b39e44a591c	John Floyd (Georgia politician)	John Floyd (Georgia politician)|John Floyd (Georgia politician)|John Floyd (Georgia politician)|John Floyd (Georgia politician)|Hate Man|Jim Boyd (newscaster)|John Floyd (Georgia politician)|John Andrew Martin|Charles Joseph Bonaparte|Richard Faith	John Floyd (Georgia politician)|John Floyd (Georgia politician)|John Floyd (Georgia politician)|John Floyd (Georgia politician)|Hate Man|Jim Boyd (newscaster)|John Floyd (Georgia politician)|John Andrew Martin|Charles Joseph Bonaparte	1	1
8e7e3452-5510-40d9-ac52-738cb7384ec4	Sachiko Kokubu	Ai (poet)|Kaneko|Akino Arai|Yoshikawa Akimasa|Heath (musician)|Kekko Kamen|Honor Harger|Yoshikawa Akimasa|Yoshiki Nakai|Honor Harger	Ai (poet)|Kaneko|Akino Arai|Yoshikawa Akimasa|Heath (musician)|Kekko Kamen|Honor Harger|Yoshikawa Akimasa|Yoshiki Nakai	0	0
68c18f33-3e20-4749-88f1-bb474eb30da0	Akari Hayami	Akari Hayami|Akari Hayami|Akino Arai|Ai (poet)|Kekko Kamen|Kaneko|Kekko Kamen|Heath (musician)|Kekko Kamen|Nosrat Karimi	Akari Hayami|Akari Hayami|Akino Arai|Ai (poet)|Kekko Kamen|Kaneko|Kekko Kamen|Heath (musician)|Kekko Kamen|Nosrat Karimi	1	1
